Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,435257,250,1,NATGASMINI,NATGASMINI23AUG24P270,23-AUG-2024,OPTFUT,PE,270,0.05,
MCX,435258,250,1,NATGASMINI,NATGASMINI23AUG24P275,23-AUG-2024,OPTFUT,PE,275,0.05,
MCX,435259,250,1,NATGASMINI,NATGASMINI23AUG24P280,23-AUG-2024,OPTFUT,PE,280,0.05,
MCX,435260,250,1,NATGASMINI,NATGASMINI23AUG24P285,23-AUG-2024,OPTFUT,PE,285,0.05,
MCX,435261,250,1,NATGASMINI,NATGASMINI23AUG24P290,23-AUG-2024,OPTFUT,PE,290,0.05,
MCX,435262,250,1,NATGASMINI,NATGASMINI23AUG24P295,23-AUG-2024,OPTFUT,PE,295,0.05,
MCX,435263,250,1,NATGASMINI,NATGASMINI23AUG24P300,23-AUG-2024,OPTFUT,PE,300,0.05,
MCX,435264,250,1,NATGASMINI,NATGASMINI23AUG24P305,23-AUG-2024,OPTFUT,PE,305,0.05,
MCX,435265,250,1,NATGASMINI,NATGASMINI23AUG24P310,23-AUG-2024,OPTFUT,PE,310,0.05,
MCX,435266,250,1,NATGASMINI,NATGASMINI23AUG24P315,23-AUG-2024,OPTFUT,PE,315,0.05,
MCX,435335,250,1,NATGASMINI,NATGASMINI23AUG24C160,23-AUG-2024,OPTFUT,CE,160,0.05,
MCX,435336,250,1,NATGASMINI,NATGASMINI23AUG24C155,23-AUG-2024,OPTFUT,CE,155,0.05,
MCX,435337,250,1,NATGASMINI,NATGASMINI23AUG24C150,23-AUG-2024,OPTFUT,CE,150,0.05,
MCX,435338,250,1,NATGASMINI,NATGASMINI23AUG24P160,23-AUG-2024,OPTFUT,PE,160,0.05,
MCX,435339,250,1,NATGASMINI,NATGASMINI23AUG24P155,23-AUG-2024,OPTFUT,PE,155,0.05,
MCX,435340,250,1,NATGASMINI,NATGASMINI23AUG24P150,23-AUG-2024,OPTFUT,PE,150,0.05,
MCX,435646,250,1,NATGASMINI,NATGASMINI23AUG24C320,23-AUG-2024,OPTFUT,CE,320,0.05,
MCX,435647,250,1,NATGASMINI,NATGASMINI23AUG24C325,23-AUG-2024,OPTFUT,CE,325,0.05,
